title,artist,first line,filename,Reference,Indices
Soy Baha'i,Unknown,Soy Baha'i a mi me gusta,Soy Baha'i,Soy Baha'i,Non-English Lyrics
Strive,"Crone, Joe",Strive that your actions day by day,Strive,Strive,Holy Words:Children's Songs
Tahirih,"Davis, Mary","Tahirih the Pure One, Consolation of the Eyes",Tahirih,Tahirih,
Teach Us of Thy Unity,Unknown,O Thou Who art our life and light,Teach Us of Thy Unity,Teach Us of Thy Unity,
"Teach, Teach, Teach ",Unknown,"Teach, teach, teach the Faith every single day",Teach Teach Teach,Teach Teach Teach,Children's Songs:Rounds & Echo Songs
Teaching Peace,"Grammer, Red","Teaching peace, all the world around",Teaching Peace,Teaching Peace,Children's Songs
Tell the Truth,Rinaldi/Vanegas,"When you tell the truth, you win people's trust",Tell the Truth,Tell the Truth,Children's Songs
That is How Baha'is Should Be,"Losey, Kai","I love the Master, the Master loves me",That is How Baha'is Should Be,That is How Baha'is Should Be,Children's Songs
Thine Eye is My Trust,"Shaw, Gregory",Thine eye is my trust,Thine Eye is My Trust,Thine Eye is My Trust,Holy Words
Thoko Zani,"Dlamini, Ben",Thoko zani nina mhlaba wonke,Thoko Zani,Thoko Zani,Children's Songs:Non-English Lyrics
Three Wives of Abraham,Unknown,"From the three wives of Abraham, the prophets came",Three Wives of Abraham,Three Wives of Abraham,
Unity Prayer,"Bullion, Jack",O my God!  O my God! Unite the hearts of Thy servants,Unity Prayer,Unity Prayer,Holy Words
We Are Baha'i Children,Unknown,We are Baha'i children.,We Are Baha'i Children,We Are Baha'i Children,Children's Songs
We Are One in the Spirit,Unknown,We are one in the spirit,We Are One in the Spirit,We Are One in the Spirit,Children's Songs
We Are The People of Baha ,"Taylor, Donna",We are the people of Baha,We Are the People of Baha,We Are the People of Baha,Children's Songs:Non-English Lyrics
We Have Come to Sing Praises,"Gilmer, Van",We have come to sing praises to our Lord,We Have Come to Sing Praises,We Have Come to Sing Praises,
We Shall Not Fail,Unknown,We shall not fail. We shall not fail.,We Shall Not Fail,We Shall Not Fail,Holy Words:Rounds & Echo Songs
What Mankind Has to Learn,"Haley, Creadell","There is only one God throughout the universe,",What Mankind Has to Learn,What Mankind Has to Learn,
When the Victory Arriveth,Southeast Baha'i Youth,"When the victory arriveth, every man",When the Victory Arriveth,When the Victory Arriveth,Holy Words
Whoso Ariseth,"McGee, Margaret Embers",Whoso ariseth among you to teach,Whoso Ariseth,Whoso Ariseth,Holy Words
Whoso Seeketh Me,"Gregory, David","Whoso seeketh Me, shall find Me",Whoso Seeketh Me,Whoso Seeketh Me,Holy Words
Will You Give Your Life,"Lincoln, Joan",Will you give your life to Baha'u'llah?,Will You Give Your Heart,Will You Give Your Heart,Children's Songs
With Two Wings,"Grammer, Red","With two wings, we can soar through the air.",With Two Wings,With Two Wings,Children's Songs
Wonderful,"Taylor, Brice","Flowers of one garden, leaves of one tree",Wonderful,Wonderful,Children's Songs
"World, World, World",Unknown,"World, world, world, world, why do you reject your Lord?",World World World,World World World,Rounds & Echo Songs
Ya Baha'u'l-Abha,Dunbar/Kinney,"Ya Baha'u'l-Abha, Ya Ali'u'l-Allah",Ya Baha'u'l-Abha Ya Ali u'l-Abha,Ya Baha'u'l-Abha Ya Ali u'l-Abha,Holy Words:Non-English Lyrics
Ye Are the Stars in the Heaven,Unknown,Ye are the stars in the heaven of understanding,Ye Are the Stars,Ye Are the Stars,Holy Words
You Must Become Distinguished,"Hosack, Leona",You must become distinguished for loving humanity,You Must Become Distinguished,You Must Become Distinguished,Holy Words:Rounds & Echo Songs
